txn_id,sender_id,recipient_id,amount,currency,channel,timestamp,sender_age,sender_tenure_days,sender_typical_amount,recipient_is_new_to_sender,recipient_account_age_days,recipient_distinct_senders_1h,recipient_distinct_senders_24h,recipient_distinct_senders_7d,has_credential_event,credential_event_type,credential_event_minutes_before_txn,credential_failed_attempts,label
TXN-0000048,SND-01776,REC-02277,396.45,TZS,merchant,2026-07-15T09:43:42,45,578,398.7,0,158,0,0,1,0,none,0.0,0,0
TXN-0000049,SND-02423,REC-02130,159.3,ZAR,merchant,2026-07-14T07:04:36,35,186,336.04,0,64,0,1,3,0,none,0.0,0,0
TXN-0000050,SND-00092,REC-02130,142.58,KES,merchant,2026-07-13T09:44:48,22,151,154.73,0,64,0,0,1,0,none,0.0,0,0
TXN-0000051,SND-00323,REC-00317,456.19,KES,p2p,2026-07-23T12:57:36,29,466,336.36,0,181,0,1,1,0,none,0.0,0,0
TXN-0000052,SND-02091,REC-00483,5257.52,TZS,p2p,2026-07-14T18:29:18,33,1518,2676.97,1,316,0,0,2,0,none,0.0,0,0
TXN-0000053,SND-00758,REC-01022,38.65,TZS,bill_pay,2026-07-17T07:51:53,44,254,75.45,0,61,0,0,1,0,none,0.0,0,0
TXN-0000054,SND-02426,REC-02510,151.88,NGN,bill_pay,2026-07-14T20:11:10,40,404,290.15,0,90,0,0,5,1,device_change,50.8226,7,0
TXN-0000055,SND-01841,REC-02897,3417.59,KES,agent_cashout,2026-07-27T12:58:56,34,601,194.79,1,1384,0,1,2,1,sim_swap_alert,19.9766,1,0
TXN-0000056,SND-01528,REC-01143,938.54,NGN,p2p,2026-07-10T08:49:32,53,14,870.76,0,138,0,0,2,1,device_change,34.9064,1,0
TXN-0000057,SND-02910,REC-02255,917.08,TZS,p2p,2026-07-02T09:25:14,33,42,812.5,0,193,4,39,75,0,none,0.0,0,1
TXN-0000058,SND-00558,REC-01926,1314.81,UGX,bill_pay,2026-07-30T09:32:10,46,1404,190.96,1,180,0,0,5,0,none,0.0,0,0
TXN-0000059,SND-00240,REC-02131,398.15,UGX,p2p,2026-07-20T15:58:52,30,874,242.03,1,534,0,0,0,0,none,0.0,0,0
TXN-0000060,SND-00985,REC-01720,1463.61,XOF,p2p,2026-07-03T08:59:34,23,97,536.68,1,53,0,2,4,0,none,0.0,0,0
TXN-0000061,SND-01440,REC-01256,4468.56,GHS,bill_pay,2026-07-21T17:03:05,28,211,308.75,0,19,1,1,2,0,none,0.0,0,0
TXN-0000062,SND-03629,REC-02757,18367.25,TZS,p2p,2026-07-10T06:27:05,48,1850,1515.13,0,34,0,0,3,0,none,0.0,0,0
TXN-0000063,SND-00219,REC-02799,1478.54,GHS,merchant,2026-07-06T13:02:29,49,581,186.88,0,225,0,2,4,1,otp_delay_retry,58.9428,1,0
TXN-0000064,SND-03400,REC-01997,16499.89,KES,bill_pay,2026-07-27T17:36:50,28,808,914.97,0,1256,0,1,3,0,none,0.0,0,1
TXN-0000065,SND-03267,REC-02448,251.14,NGN,merchant,2026-07-13T16:35:36,41,191,20.16,0,594,0,0,3,0,none,0.0,0,0
TXN-0000066,SND-03138,REC-00361,797.16,UGX,p2p,2026-07-29T20:50:46,47,1982,162.75,1,78,0,0,2,1,password_reset,19.9119,9,1
TXN-0000067,SND-02206,REC-02972,2771.32,KES,p2p,2026-07-24T16:02:16,29,862,3160.93,1,1964,0,0,1,0,none,0.0,0,0
TXN-0000068,SND-02502,REC-02267,2103.13,KES,p2p,2026-07-06T14:29:57,37,268,265.82,0,274,0,0,3,0,none,0.0,0,0
TXN-0000069,SND-00992,REC-00621,1150.81,XOF,p2p,2026-07-13T13:03:25,37,960,1130.0,1,198,9,52,137,1,otp_delay_retry,33.0912,1,1
TXN-0000070,SND-02940,REC-01999,674.69,UGX,p2p,2026-07-28T06:32:12,48,487,347.39,0,27,0,0,3,0,none,0.0,0,0
TXN-0000071,SND-03773,REC-00261,749.2,GHS,p2p,2026-07-13T11:08:34,24,44,147.76,0,646,0,0,3,0,none,0.0,0,0
TXN-0000072,SND-02887,REC-01475,171.81,GHS,p2p,2026-07-14T15:21:22,37,961,116.24,1,641,8,14,105,0,none,0.0,0,1
TXN-0000073,SND-03838,REC-01330,204.06,TZS,p2p,2026-07-04T18:31:40,55,166,155.92,1,261,0,1,4,0,none,0.0,0,0
TXN-0000074,SND-03644,REC-00342,184.63,UGX,merchant,2026-07-30T12:29:49,21,123,135.02,1,467,0,0,1,0,none,0.0,0,0
TXN-0000075,SND-00583,REC-01209,535.64,ZAR,p2p,2026-07-22T06:28:43,35,522,458.55,1,361,0,0,1,0,none,0.0,0,0
TXN-0000076,SND-02938,REC-00341,36.21,KES,agent_cashout,2026-07-10T11:58:59,29,765,44.68,0,90,0,0,1,0,none,0.0,0,0
TXN-0000077,SND-03658,REC-00554,14258.27,XOF,bill_pay,2026-07-06T20:57:20,60,835,2035.86,1,2327,0,0,0,1,password_reset,14.1646,1,0
TXN-0000078,SND-02866,REC-01636,336.92,XOF,agent_cashout,2026-07-10T05:21:13,44,627,268.73,0,20,0,0,0,0,none,0.0,0,0
TXN-0000079,SND-03269,REC-00130,473.5,KES,p2p,2026-07-14T15:56:39,26,66,110.17,0,13,1,1,2,1,device_change,0.3691,3,0
TXN-0000080,SND-02017,REC-01815,670.15,ZAR,bill_pay,2026-07-22T16:54:08,25,772,845.22,1,42,0,0,0,0,none,0.0,0,0
TXN-0000081,SND-02417,REC-02874,1467.81,XOF,p2p,2026-07-28T11:42:48,42,491,1328.61,0,1595,0,0,4,1,otp_delay_retry,2.0654,1,0
TXN-0000082,SND-02548,REC-01246,265.02,TZS,bill_pay,2026-07-24T06:00:13,30,229,306.08,1,436,0,0,3,1,device_change,20.0604,0,0
TXN-0000083,SND-03598,REC-00187,11509.16,KES,p2p,2026-07-16T15:44:48,45,77,8236.94,1,179,0,1,3,0,none,0.0,0,0
TXN-0000084,SND-03727,REC-00907,143.32,UGX,bill_pay,2026-07-30T21:21:56,25,349,135.18,1,81,0,0,0,0,none,0.0,0,0
TXN-0000085,SND-03113,REC-02753,294.31,GHS,p2p,2026-07-21T07:21:09,46,477,422.84,0,117,18,60,148,1,pin_failed_then_success,53.6767,2,1
TXN-0000086,SND-00079,REC-00523,58.18,UGX,p2p,2026-07-29T11:58:52,18,1503,46.71,0,196,0,0,2,0,none,0.0,0,0
TXN-0000087,SND-01956,REC-02849,335.51,KES,agent_cashout,2026-07-27T21:30:32,50,247,364.81,1,483,0,0,1,0,none,0.0,0,0
TXN-0000088,SND-02713,REC-01184,829.89,XOF,p2p,2026-07-10T07:44:23,42,116,1368.73,1,627,0,0,0,1,otp_delay_retry,48.3939,1,0
TXN-0000089,SND-03474,REC-01703,2441.16,TZS,p2p,2026-07-10T17:13:10,22,597,2205.77,0,796,0,0,2,1,password_reset,40.7831,1,0
TXN-0000090,SND-00533,REC-00051,143.37,KES,p2p,2026-07-09T10:29:34,50,35,147.07,0,62,0,0,0,0,none,0.0,0,0
TXN-0000091,SND-02346,REC-02847,123.23,KES,p2p,2026-07-07T10:14:19,34,539,94.11,0,1319,0,0,6,1,pin_failed_then_success,3.8654,3,0
TXN-0000092,SND-03667,REC-02171,122.96,GHS,agent_cashout,2026-07-21T17:22:15,41,499,171.79,0,1058,10,16,50,0,none,0.0,0,0
TXN-0000093,SND-00478,REC-01609,14682.3,UGX,p2p,2026-07-14T14:50:08,40,225,514.74,1,411,0,0,3,1,device_change,9.1213,1,1
TXN-0000094,SND-03590,REC-02083,64.67,NGN,p2p,2026-07-10T18:36:55,50,679,140.42,0,693,0,0,0,0,none,0.0,0,0
TXN-0000095,SND-01735,REC-01619,52.67,ZAR,agent_cashout,2026-07-02T05:53:15,27,1315,52.23,1,140,0,1,3,0,none,0.0,0,0
TXN-0000096,SND-00580,REC-01573,153.32,ZAR,merchant,2026-07-16T22:04:16,50,260,156.06,0,217,0,2,2,0,none,0.0,0,0
TXN-0000097,SND-03717,REC-00197,349.96,NGN,agent_cashout,2026-07-25T16:53:10,30,770,334.97,0,71,0,0,0,0,none,0.0,0,0
TXN-0000098,SND-03922,REC-02651,1083.14,NGN,p2p,2026-07-24T21:46:42,26,92,86.67,1,511,0,1,1,0,none,0.0,0,1
TXN-0000099,SND-02347,REC-02026,115.07,ZAR,p2p,2026-07-21T11:36:06,20,979,215.23,0,787,0,0,2,0,none,0.0,0,0
TXN-0000100,SND-01522,REC-02256,587.64,KES,bill_pay,2026-07-03T19:37:56,33,575,74.85,1,111,0,1,3,1,otp_delay_retry,17.4554,4,0
TXN-0000101,SND-00386,REC-00509,1847.82,KES,p2p,2026-07-22T04:48:49,48,83,1129.48,0,735,0,0,1,1,sim_swap_alert,17.3302,9,0
TXN-0000102,SND-02474,REC-02035,174.15,NGN,bill_pay,2026-07-17T14:24:38,35,326,133.47,0,171,0,0,0,1,password_reset,31.1756,9,1
TXN-0000103,SND-01359,REC-01841,149.09,UGX,p2p,2026-07-26T12:42:06,47,699,149.18,0,431,0,0,3,0,none,0.0,0,1
TXN-0000104,SND-00005,REC-02258,500.21,NGN,agent_cashout,2026-07-07T11:18:34,28,43,119.07,1,145,0,0,6,0,none,0.0,0,1
TXN-0000105,SND-00364,REC-01996,463.76,TZS,p2p,2026-07-30T16:41:13,38,187,967.26,1,435,0,0,2,1,device_change,17.4466,0,0
TXN-0000106,SND-02758,REC-02570,82.2,TZS,p2p,2026-07-23T15:08:02,32,537,84.7,1,53,1,2,2,0,none,0.0,0,0
TXN-0000107,SND-00612,REC-00538,459.47,KES,p2p,2026-07-04T23:28:31,47,354,432.77,1,1088,0,0,2,0,none,0.0,0,0
TXN-0000108,SND-00170,REC-02330,906.69,GHS,merchant,2026-07-16T13:26:21,49,169,55.93,0,104,0,0,2,1,pin_failed_then_success,4.146,3,0
TXN-0000109,SND-00236,REC-02437,5342.6,ZAR,merchant,2026-07-07T11:53:28,37,306,450.15,1,11,0,0,2,0,none,0.0,0,0
TXN-0000110,SND-00919,REC-00291,4046.41,UGX,p2p,2026-07-21T02:41:10,29,635,1100.76,1,47,5,41,94,0,none,0.0,0,1
TXN-0000111,SND-02491,REC-00652,4166.82,GHS,p2p,2026-07-18T12:33:13,35,903,254.19,1,312,0,0,1,1,sim_swap_alert,21.8816,1,1
TXN-0000112,SND-01586,REC-01592,53.49,NGN,p2p,2026-07-18T19:51:55,32,602,34.34,0,250,4,33,99,0,none,0.0,0,0
TXN-0000113,SND-01510,REC-02167,1974.06,ZAR,p2p,2026-07-26T08:58:25,50,512,1115.02,0,197,15,30,55,0,none,0.0,0,1
TXN-0000114,SND-03294,REC-00766,4035.82,XOF,p2p,2026-07-02T08:37:18,37,49,554.19,0,204,0,0,2,1,otp_delay_retry,76.3835,1,0
TXN-0000115,SND-00805,REC-01653,3585.36,UGX,merchant,2026-07-24T08:45:14,25,757,577.7,0,355,0,1,3,0,none,0.0,0,0
TXN-0000116,SND-01859,REC-00692,3624.39,XOF,p2p,2026-07-12T19:27:56,45,727,3233.51,1,111,0,0,2,0,none,0.0,0,0
TXN-0000117,SND-00887,REC-01756,1469.97,TZS,bill_pay,2026-07-28T09:47:21,55,146,199.48,0,179,0,0,0,0,none,0.0,0,0
TXN-0000118,SND-03483,REC-01447,25.78,TZS,bill_pay,2026-07-17T21:31:38,47,146,45.21,0,825,0,1,2,0,none,0.0,0,0
TXN-0000119,SND-00605,REC-00509,261.93,TZS,bill_pay,2026-07-28T21:45:05,32,2194,173.18,0,735,9,50,108,0,none,0.0,0,1
TXN-0000120,SND-03635,REC-01154,19.39,KES,agent_cashout,2026-07-29T18:11:56,40,1186,58.17,1,96,0,0,3,0,none,0.0,0,1
TXN-0000121,SND-01006,REC-00829,84.45,TZS,p2p,2026-07-29T15:02:51,25,1444,75.51,1,107,0,1,4,1,device_change,40.5398,1,0
TXN-0000122,SND-01532,REC-02553,29596.05,TZS,merchant,2026-07-12T16:29:49,40,402,3473.19,0,1121,0,0,4,1,otp_delay_retry,9.232,1,0
TXN-0000123,SND-03666,REC-01198,645.19,TZS,p2p,2026-07-22T16:57:58,27,75,241.02,0,104,0,0,1,0,none,0.0,0,0
TXN-0000124,SND-01935,REC-02580,261.25,UGX,bill_pay,2026-07-12T08:59:46,58,912,271.69,0,251,5,38,79,0,none,0.0,0,0
TXN-0000125,SND-00519,REC-01406,7116.4,TZS,p2p,2026-07-09T15:01:34,37,346,674.65,1,677,1,1,3,0,none,0.0,0,0
TXN-0000126,SND-01255,REC-00482,824.15,NGN,p2p,2026-07-06T15:25:38,20,521,188.97,0,53,0,1,5,0,none,0.0,0,0
TXN-0000127,SND-00745,REC-00982,10083.03,NGN,p2p,2026-07-01T19:55:17,25,508,640.7,1,512,0,0,1,0,none,0.0,0,1
TXN-0000128,SND-00744,REC-01132,745.57,TZS,bill_pay,2026-07-02T16:42:16,20,238,317.63,0,100,0,0,1,0,none,0.0,0,0
TXN-0000129,SND-03345,REC-01298,384.9,XOF,p2p,2026-07-27T15:13:45,29,784,203.11,1,473,0,0,0,1,sim_swap_alert,15.0694,6,1
TXN-0000130,SND-03156,REC-02025,492.41,GHS,p2p,2026-07-29T12:43:57,27,362,571.56,0,778,0,2,6,0,none,0.0,0,0
TXN-0000131,SND-01460,REC-02471,642.52,TZS,bill_pay,2026-07-28T02:05:23,34,359,157.13,0,182,1,2,3,1,pin_failed_then_success,89.7886,7,1
TXN-0000132,SND-00641,REC-02695,18.21,ZAR,bill_pay,2026-07-09T11:57:11,30,12,19.55,1,210,0,0,1,1,device_change,0.3788,5,0
TXN-0000133,SND-02665,REC-02229,680.87,TZS,p2p,2026-07-02T11:31:12,37,325,492.79,0,1197,0,0,0,0,none,0.0,0,0
TXN-0000134,SND-01399,REC-01150,59.9,ZAR,p2p,2026-07-07T19:28:29,28,792,56.26,0,566,13,45,84,0,none,0.0,0,1
TXN-0000135,SND-00014,REC-00254,4181.85,XOF,agent_cashout,2026-07-20T13:02:59,45,714,375.6,1,950,1,1,2,0,none,0.0,0,0
TXN-0000136,SND-00258,REC-01506,505.29,GHS,p2p,2026-07-10T01:33:42,26,20,579.84,1,133,0,0,1,0,none,0.0,0,0
TXN-0000137,SND-02796,REC-00525,554.51,ZAR,agent_cashout,2026-07-02T07:11:20,46,76,174.61,1,44,0,0,3,1,device_change,9.0502,0,0
TXN-0000138,SND-02836,REC-01965,1481.24,TZS,agent_cashout,2026-07-23T14:33:51,66,175,2611.68,0,136,0,2,4,0,none,0.0,0,0
TXN-0000139,SND-00144,REC-00812,999.41,TZS,p2p,2026-07-12T08:22:22,37,1245,418.2,1,2,3,47,144,0,none,0.0,0,1
TXN-0000140,SND-02975,REC-02290,3414.85,TZS,p2p,2026-07-24T08:22:08,37,54,293.6,0,45,0,0,0,0,none,0.0,0,0
TXN-0000141,SND-03726,REC-00693,1023.05,XOF,merchant,2026-07-05T11:44:49,44,205,256.75,1,458,0,0,1,0,none,0.0,0,0
TXN-0000142,SND-02491,REC-01177,1023.38,TZS,p2p,2026-07-11T19:30:44,35,903,254.19,1,113,0,1,3,0,none,0.0,0,0
TXN-0000143,SND-02078,REC-02586,3871.35,GHS,bill_pay,2026-07-15T16:05:58,26,1099,2210.47,0,1306,0,0,1,1,pin_failed_then_success,33.2659,7,1
TXN-0000144,SND-02487,REC-01025,2810.56,XOF,p2p,2026-07-23T06:51:10,32,648,1903.88,0,773,6,21,86,1,pin_failed_then_success,5.3766,2,1
TXN-0000145,SND-02642,REC-01801,406.87,UGX,agent_cashout,2026-07-07T17:35:43,21,29,159.28,0,438,0,0,1,0,none,0.0,0,0
TXN-0000146,SND-02020,REC-02112,2598.91,KES,bill_pay,2026-07-14T05:45:48,27,925,71.42,0,412,0,1,2,1,otp_delay_retry,112.4117,0,1
TXN-0000147,SND-03088,REC-00595,90.97,NGN,p2p,2026-07-07T19:13:44,26,367,102.08,1,108,0,0,3,0,none,0.0,0,0
TXN-0000148,SND-02600,REC-02489,152.4,UGX,agent_cashout,2026-07-09T15:09:22,24,501,416.02,1,402,0,1,3,0,none,0.0,0,0
TXN-0000149,SND-02808,REC-01049,249.16,GHS,merchant,2026-07-06T15:22:25,26,447,198.5,0,918,1,1,3,0,none,0.0,0,0
TXN-0000150,SND-01383,REC-02688,747.35,XOF,agent_cashout,2026-07-02T13:24:15,26,1310,252.62,1,169,0,0,1,1,password_reset,38.421,3,0
TXN-0000151,SND-00470,REC-01223,459.51,KES,p2p,2026-07-12T16:50:31,38,72,271.19,0,610,0,1,4,0,none,0.0,0,1
TXN-0000152,SND-02290,REC-00317,620.83,GHS,agent_cashout,2026-07-20T08:20:09,21,138,540.7,0,181,0,0,2,0,none,0.0,0,0
TXN-0000153,SND-01644,REC-02307,189.51,NGN,bill_pay,2026-07-24T21:42:25,44,14,91.43,0,75,0,1,3,1,device_change,6.3038,6,1
TXN-0000154,SND-02993,REC-01951,460.83,UGX,p2p,2026-07-02T07:20:16,38,357,329.23,1,439,0,0,1,0,none,0.0,0,0
TXN-0000155,SND-01509,REC-02951,412.75,XOF,agent_cashout,2026-07-09T06:04:36,19,66,179.94,1,591,0,0,3,0,none,0.0,0,0
TXN-0000156,SND-02747,REC-02953,9351.16,KES,merchant,2026-07-12T07:13:37,48,153,4551.36,1,126,0,0,1,1,device_change,30.4437,9,1
TXN-0000157,SND-01955,REC-02857,28.75,NGN,agent_cashout,2026-07-01T10:10:27,41,1618,26.46,0,99,0,0,4,1,otp_delay_retry,11.8194,0,0
TXN-0000158,SND-02711,REC-01260,333.07,NGN,agent_cashout,2026-07-03T08:12:36,43,86,226.72,1,15,15,50,133,0,none,0.0,0,1
TXN-0000159,SND-01860,REC-00806,207.25,ZAR,merchant,2026-07-07T08:10:27,49,482,46.61,0,96,0,1,3,0,none,0.0,0,0
TXN-0000160,SND-00541,REC-02541,64.83,KES,agent_cashout,2026-07-21T19:01:29,23,1732,61.73,0,172,0,0,1,1,sim_swap_alert,46.9079,6,1
TXN-0000161,SND-03444,REC-01363,1276.17,TZS,agent_cashout,2026-07-29T07:43:36,39,1425,162.03,0,495,0,0,0,1,sim_swap_alert,79.1354,0,0
TXN-0000162,SND-01566,REC-00772,655.25,TZS,bill_pay,2026-07-01T14:32:43,47,110,96.18,1,425,1,1,1,1,pin_failed_then_success,37.2813,1,1
TXN-0000163,SND-00284,REC-02099,72067.76,ZAR,p2p,2026-07-24T12:31:51,47,663,2052.27,0,742,0,2,5,1,otp_delay_retry,94.098,1,0
TXN-0000164,SND-02913,REC-00575,2108.16,ZAR,p2p,2026-07-13T07:35:29,22,461,62.65,1,266,0,0,2,1,otp_delay_retry,21.1593,1,1
TXN-0000165,SND-02345,REC-00340,236.39,ZAR,p2p,2026-07-28T10:56:05,48,283,219.71,0,58,16,24,71,0,none,0.0,0,0
TXN-0000166,SND-00136,REC-01001,326.56,ZAR,p2p,2026-07-11T19:44:14,41,180,1223.63,1,17,0,0,5,0,none,0.0,0,0
TXN-0000167,SND-01116,REC-00001,818.04,GHS,p2p,2026-07-06T19:29:28,46,162,120.96,0,865,0,1,1,0,none,0.0,0,1
TXN-0000168,SND-00844,REC-01520,2399.11,NGN,p2p,2026-07-18T07:46:00,23,164,319.48,1,268,0,0,3,0,none,0.0,0,1
TXN-0000169,SND-02763,REC-01228,41204.25,KES,bill_pay,2026-07-08T22:05:54,31,222,715.88,1,892,0,0,3,1,sim_swap_alert,43.2595,1,1
TXN-0000170,SND-01429,REC-00772,2665.18,KES,p2p,2026-07-20T18:15:19,23,128,327.72,0,425,0,0,0,1,device_change,36.1828,1,1
TXN-0000171,SND-03243,REC-01869,411.05,UGX,bill_pay,2026-07-04T16:36:59,33,358,151.59,0,17,1,1,2,0,none,0.0,0,0
TXN-0000172,SND-03514,REC-02369,6730.26,KES,merchant,2026-07-14T10:14:36,58,514,395.18,1,1096,0,1,1,1,sim_swap_alert,48.2784,0,1
